@RELATION P1Mario-data-training-T3Original

@ATTRIBUTE MergedObs[7][9] {-85, -62, -60, -24, 0, 1, 2, 3, 5, 25, 80, 93}
@ATTRIBUTE MergedObs[8][9] {-85, -62, -60, -24, 0, 1, 2, 3, 5, 25, 80, 93}
@ATTRIBUTE MergedObs[8][10] {-85, -62, -60, -24, 0, 1, 2, 3, 5, 25, 80, 93}
@ATTRIBUTE MergedObs[9][10] {-85, -62, -60, -24, 0, 1, 2, 3, 5, 25, 80, 93}
@ATTRIBUTE MergedObs[9][11] {-85, -62, -60, -24, 0, 1, 2, 3, 5, 25, 80, 93}
@ATTRIBUTE MergedObs[10][9] {-85, -62, -60, -24, 0, 1, 2, 3, 5, 25, 80, 93}
@ATTRIBUTE MergedObs[10][10] {-85, -62, -60, -24, 0, 1, 2, 3, 5, 25, 80, 93}
@ATTRIBUTE distanceEnemy NUMERIC
@ATTRIBUTE distanceCoin NUMERIC
@ATTRIBUTE isOnGround {Ground, Air}
@ATTRIBUTE isEnemy {Enemy, NoEnemy}
@ATTRIBUTE isEnemyBelow {Enemy, NoEnemy}
@ATTRIBUTE isCoin {Coin, NoCoin}
@ATTRIBUTE action {move, jump, move_jump, still}
@ATTRIBUTE reward NUMERIC
@ATTRIBUTE futureReward NUMERIC

@data
0,0,0,0,2,-24,0,1414,824,Ground,NoEnemy,NoEnemy,NoCoin,move,189,221
0,0,0,0,0,0,1,1414,824,Air,Enemy,NoEnemy,NoCoin,still,381,339
0,0,0,0,0,1,0,1414,824,Air,NoEnemy,Enemy,NoCoin,jump,339,419
0,0,0,0,0,0,0,1414,728,Air,NoEnemy,NoEnemy,NoCoin,still,339,419
0,0,0,0,0,0,0,1414,728,Air,NoEnemy,NoEnemy,NoCoin,still,339,419
0,0,0,0,0,0,1,1414,824,Air,Enemy,NoEnemy,NoCoin,still,339,435
0,0,0,0,0,1,0,1414,824,Ground,NoEnemy,Enemy,NoCoin,move,435,509
0,0,2,2,2,-24,0,1414,800,Air,NoEnemy,NoEnemy,Coin,move,445,509
0,0,2,2,2,-24,0,1414,800,Air,NoEnemy,NoEnemy,Coin,move,445,509
0,0,2,2,2,-24,0,1414,800,Air,NoEnemy,NoEnemy,Coin,move,445,509
0,0,0,0,2,-24,0,1414,800,Ground,NoEnemy,NoEnemy,NoCoin,move,477,509
0,0,0,0,0,-60,1,1414,824,Air,Enemy,NoEnemy,NoCoin,move,509,583
0,0,0,0,0,1,0,1414,806,Ground,NoEnemy,Enemy,NoCoin,move,509,583
0,0,0,0,-24,-60,-60,1414,905,Air,NoEnemy,NoEnemy,NoCoin,move,519,583
0,0,0,0,0,0,0,1414,806,Air,NoEnemy,NoEnemy,NoCoin,move,519,583
0,0,0,2,2,0,2,1414,700,Air,NoEnemy,NoEnemy,Coin,move,519,583
0,0,0,1,0,-60,-60,1414,728,Air,Enemy,NoEnemy,NoCoin,move,583,541
0,0,0,0,-60,1,0,1414,600,Air,NoEnemy,Enemy,NoCoin,move,541,541
0,0,0,0,-60,0,0,1414,500,Air,NoEnemy,NoEnemy,NoCoin,move,541,541
0,0,0,0,-60,0,0,1414,500,Air,NoEnemy,NoEnemy,NoCoin,move,541,541
0,0,-60,0,-60,1,-60,1414,640,Air,NoEnemy,Enemy,NoCoin,move_jump,541,605
0,0,0,2,2,0,2,1414,707,Air,NoEnemy,NoEnemy,Coin,move,541,701
0,0,0,2,2,0,2,1414,707,Air,NoEnemy,NoEnemy,Coin,move,541,701
0,0,0,0,0,0,2,1414,608,Air,NoEnemy,NoEnemy,NoCoin,move,541,711
0,0,0,2,2,0,2,1414,707,Air,NoEnemy,NoEnemy,Coin,move,541,711
0,0,2,2,2,-24,1,1414,141,Air,Enemy,NoEnemy,Coin,move,669,807
0,0,2,2,2,-24,1,1414,141,Ground,Enemy,NoEnemy,Coin,move,669,807
0,0,2,2,2,1,-24,1414,141,Air,NoEnemy,Enemy,Coin,move,711,807
0,0,0,0,2,0,0,1414,200,Air,NoEnemy,NoEnemy,NoCoin,move,743,807
0,0,0,2,2,0,2,1414,100,Air,NoEnemy,NoEnemy,Coin,move,743,817
0,0,0,0,2,0,2,1414,100,Air,NoEnemy,NoEnemy,NoCoin,move,759,817
0,0,0,0,0,0,1,1414,1414,Air,Enemy,NoEnemy,NoCoin,move_jump,807,817
0,0,0,0,0,0,0,1414,1414,Air,NoEnemy,NoEnemy,NoCoin,still,-1,-1
0,0,0,0,0,1,0,1414,1414,Air,NoEnemy,Enemy,NoCoin,move,-1,-43
0,0,0,1,-60,-60,-60,1414,1414,Ground,Enemy,NoEnemy,NoCoin,move_jump,-1,-43
0,0,0,2,2,0,1,1414,806,Air,Enemy,NoEnemy,Coin,move,-23,-33
0,2,2,2,0,-24,-24,1414,900,Ground,NoEnemy,NoEnemy,Coin,move,-49,-33
0,2,2,2,0,-24,-24,1414,900,Ground,NoEnemy,NoEnemy,Coin,move,-49,-33
0,2,2,0,0,-24,-24,1414,900,Ground,NoEnemy,NoEnemy,NoCoin,move,-33,-17
0,0,0,0,0,1,1,1414,894,Air,Enemy,Enemy,NoCoin,move,63,137
