meanBlue,meanRed,sdBlue,skewnessBlue,dfRG,dfRB,dfGB,entropyBlue,energyBlue,contrastBlue,homogeneityBlue,coverage,clase
0.373505,0.655519,0.33685,0.312271,0.765089,0.890245,0.847359,0.539842,0.311324,0.031531,0.523613,0.72375,nube
0.268261,0.278143,0.519689,0.654265,0.379012,0.471388,0.482004,0.678685,0.179949,0.069662,0.485709,0.153631,nube
0.538533,0.620869,0.455631,0.37747,1,0.622823,0.13025,0.382499,0.217275,0.098131,0.29546,0.161238,nube
0.330146,0.429561,0.666381,0.854652,0.602724,0.613687,0.513107,0.502348,0.212848,0.121268,0.279949,0.19264,multinube
0.561959,0.860859,0.672196,0.479696,0.957793,0.946211,0.754341,0.376069,0.120273,0.011251,0.714577,0.991158,nube
0.587282,0.506844,0.690448,0.540167,0.442407,0.390692,0.27314,0.592374,0.401433,0.014541,0.741534,0.143099,nube
0.361315,0.35525,0.604584,0.743874,0.506257,0.463193,0.339374,0.60546,0.146837,0.211291,0.277416,0.209414,multinube
0.262721,0.197954,0.625335,0.776433,0.273703,0.360336,0.3881,0.720777,0.320806,0.033514,0.599893,0.088486,nube
0.414343,0.623977,0.57813,0.601451,0.67006,0.790181,0.762886,0.552803,0.307308,0.039893,0.495901,0.25512,nube
0.359928,0.559689,0.660093,0.827157,0.767925,0.766649,0.622197,0.555747,0.31805,0.015581,0.675468,0.254795,nube
0.445441,0.732172,0.798361,0.67822,0.821782,0.909058,0.824216,0.351506,0.091167,0.037143,0.509492,0.991808,nube
0.477158,0.65938,0.878543,0.660547,0.705291,0.760087,0.673346,0.621032,0.165767,0.256737,0.224715,0.415058,multinube
0.485074,0.519456,0.504217,0.521326,0.572142,0.543261,0.417172,0.554201,0.18287,0.150713,0.280616,0.315324,nube
0.296096,0.169889,0.479048,0.527665,0.285125,0.275183,0.223457,0.554557,0.13286,0.055531,0.510916,0.098823,nube
0.31719,0.146137,0.428827,0.692334,0.312496,0.212491,0.083185,0.508089,0.261022,0.009,0.76535,0.002146,cieloDespejado
0.450222,0.384052,0.569885,0.588201,0.415856,0.38916,0.29707,0.433319,0.175157,0.023792,0.627274,0.136922,nube
0.298297,0.278341,0.534358,0.643473,0.354374,0.432315,0.436486,0.591635,0.15759,0.047311,0.557922,0.107145,nube
0.603602,0.556145,0.598806,0.432873,0.635521,0.442042,0.17141,0.390558,0.244574,0.067064,0.401944,0.054613,nube
0.354291,0.260284,0.597963,0.726642,0.335113,0.332282,0.275918,0.678387,0.223114,0.111997,0.522175,0.112151,nube
0.337922,0.637511,0.435245,0.399667,0.680868,0.910314,0.968104,0.884068,0.747259,0.001943,0.933574,0.694103,nube
0.408273,0.304186,0.732738,0.7284,0.291708,0.326304,0.30879,0.563818,0.284693,0.022972,0.64066,0.070997,nube
0.306348,0.424102,0.787929,0.893669,0.578694,0.636823,0.578874,0.701208,0.332995,0.041785,0.609621,0.25681,nube
0.4208,0.716012,0.360342,0.265212,0.824419,0.917511,0.83677,0.501785,0.215798,0.084557,0.35732,0.943697,nube
0.331576,0.463741,0.976076,0.911114,0.589887,0.662244,0.613348,0.529342,0.287467,0.049048,0.498854,0.358039,nube
0.295158,0.576579,0.618175,0.653588,0.668049,0.87646,0.920096,0.395964,0.083936,0.075569,0.334877,0.587348,multinube
0.424219,0.60757,0.544898,0.483117,0.705433,0.753029,0.660509,0.406248,0.104711,0.091489,0.315553,0.459593,multinube
